Oxysoft export of:	C:\Users\NIRS\Desktop\colm1222
Export date:	2016/11/23 17:17:46
Start of measurement:	2016-11-23 17:13:14.284

Datafile sample rate:	10.00	Hz
Datafile duration:	228.00	s
Datafile total number of samples:	2280

Description:	

Optode-template:	3 x 1 channel (split) I
Optode distance (mm):	 10.00	10.00	10.00
Optode gradients (mm):	 -	-	-
DPF:	4.00	4.00	4.00

Device id:	10221
# Receivers:	2
# Light sources:	8
# ADC:	0

Light source wavelengths:
device	index	wavelength
1	1	847	nm
1	2	762	nm
1	3	847	nm
1	4	761	nm
1	5	847	nm
1	6	761	nm
1	7	847	nm
1	8	761	nm

Export sample rate:	10.00	Hz
No time span selected, exporting full time span



Legend:
Column	Trace (Measurement)
1	(Sample number)
2	Rx1 - Tx1 O2Hb (colm1222)
3	Rx1 - Tx1 HHb (colm1222)
4	Rx2a - Tx2 O2Hb (colm1222)
5	Rx2a - Tx2 HHb (colm1222)
6	Rx2b - Tx3 O2Hb (colm1222)
7	Rx2b - Tx3 HHb (colm1222)
8	(Event)


1	2	3	4	5	6	7	8
   104	-0.9139	-0.2607	14.8314	 2.5074	-16.1255	 7.2666	 
   105	-1.0649	-0.2794	21.2418	-0.9467	-15.8587	 7.3555	 
   106	-1.1772	-0.2750	17.5847	 0.4037	-15.8630	 7.2822	 
   107	-0.5345	-0.1767	21.0400	 1.3393	-14.3956	 8.0897	 
   108	-0.3447	-0.1348	18.4153	 1.1840	-13.3071	 8.1751	 
   109	-0.5345	-0.1767	22.0723	-0.1664	-13.8062	 7.9471	 
   110	-0.6080	-0.1491	23.9740	-0.8686	-13.4921	 8.2059	 
   111	-0.6428	-0.0983	21.2418	-0.9467	-13.1521	 8.2678	 
   112	-0.8326	-0.1403	14.5221	 4.8706	-13.7675	 7.9702	 
   113	-1.0610	-0.2054	22.0723	-0.1664	-13.7718	 7.8969	 
   114	-1.2120	-0.2242	19.2115	 2.0145	-13.3200	 7.9549	 
   115	-1.2120	-0.2242	23.8109	 1.4406	-13.1220	 8.1442	 
   116	-0.6777	-0.0475	22.9416	 0.6371	-10.8845	 8.7049	 
   117	-0.7164	-0.0707	15.5544	 3.3649	-10.9061	 8.3380	 
   118	-0.8674	-0.0895	22.9416	 0.6371	-10.9922	 8.1449	 
   119	-0.7125	 0.0033	21.9093	 2.1428	-10.4974	 8.2995	 
   120	-0.7861	 0.0309	21.0400	 1.3393	-11.0138	 7.7781	 
   121	-1.0493	 0.0166	20.0076	 2.8450	-11.4011	 7.5462	 
   122	-1.2391	-0.0254	17.1123	 5.0761	-11.5043	 7.6968	 
   123	-1.2391	-0.0254	22.2397	-2.4022	-10.8115	 8.0407	 
   124	-0.8596	 0.0585	22.0723	-0.1664	-9.3958	 8.6050	 
   125	-1.1616	 0.0210	22.9416	 0.6371	-9.6196	 8.6126	 
   126	-1.5798	-0.0861	21.0400	 1.3393	-9.5507	 8.5122	 
   127	-1.5450	-0.1369	22.2397	-2.4022	-7.3003	 9.2930	 
   128	-1.7308	-0.1049	20.2438	 0.5088	-6.7366	 9.3473	 
   129	-1.9205	-0.1469	20.2438	 0.5088	-7.1153	 9.2622	 
   130	-1.9980	-0.1932	20.2438	 0.5088	-6.8141	 9.3009	 
   131	-1.6921	-0.0817	17.3829	 2.6897	-6.0266	 9.9847	 
   132	-0.8596	 0.0585	17.8741	 5.9569	-4.4861	10.7653	 
   133	-1.1965	 0.0718	18.4153	 1.1840	-5.2133	10.4715	 
   134	-1.2778	-0.0486	17.1123	 5.0761	-4.5206	10.1783	 
   135	-1.1616	 0.0210	21.2418	-0.9467	-2.8382	10.1943	 
   136	-1.2004	-0.0022	16.8273	-0.4037	-0.5062	 9.8205	 
   137	-1.3862	 0.0298	16.5868	 1.8592	 2.9057	 9.3852	 
   138	-1.3126	 0.0022	17.9282	-3.9213	 6.3780	 9.3400	 
   139	-0.6273	 0.1977	 9.9521	 2.1351	12.4063	10.8249	 
   140	 0.1316	 0.3655	 8.5878	 0.5397	16.6359	10.9498	 
   141	 0.2439	 0.3611	12.0552	-2.7647	16.7648	 9.9651	 
   142	 0.2400	 0.2871	 9.7661	-2.9315	17.2294	 9.6061	 
   143	 0.3136	 0.2595	 5.0120	-1.1760	17.6380	 8.9305	 
   144	 0.0077	 0.1479	 8.8370	-1.5764	15.1552	 8.0106	 
   145	-0.2943	 0.1104	 5.6188	-0.3880	13.1845	 7.5388	 
   146	-0.2982	 0.0364	 6.5479	-1.7432	12.5434	 7.4382	 
   147	 0.4219	 0.1811	 9.1977	-5.6078	16.9798	 9.1736	 
   148	 0.4955	 0.1534	 5.9067	-2.4810	17.4229	 9.0849	 
   149	 0.3019	 0.0375	11.5556	-5.5414	18.0770	 9.4056	 
   150	 0.3367	-0.0133	 7.4427	-3.0481	18.6579	 9.7534	 
   151	 0.1896	 0.0419	 8.3374	-4.3531	18.4556	 9.4907	 
   152	-0.0388	-0.0232	 9.1977	-5.6078	16.1707	 8.1229	 
   153	-0.1511	-0.0188	 5.4501	-5.1611	14.0019	 6.8247	 
   154	 0.2283	 0.0651	 6.9861	-5.7283	15.5166	 7.8022	 
   155	 0.9872	 0.2329	 1.2119	-5.4328	17.4486	 8.2508	 
   156	 1.0647	 0.2793	 0.3860	-4.2282	15.0002	 7.2807	 
   157	 0.9137	 0.2606	 4.8476	-5.8757	13.6576	 6.6894	 
   158	 0.9137	 0.2606	 4.8476	-5.8757	13.9029	 7.0486	 
   159	 0.8014	 0.2650	 4.8476	-5.8757	12.6249	 6.2836	 
   160	 0.5420	 0.3246	570.1002	-215.4991	11.5749	 5.5843	 
   161	 0.4297	 0.3290	570.9261	-216.7037	10.7659	 5.1708	 
   162	 0.9602	 0.4317	282.9285	-108.5592	14.3719	 6.7630	 
   163	 1.1460	 0.3997	283.7544	-109.7638	15.0559	 6.3230	 
   164	 0.8053	 0.3390	281.2079	-106.0497	15.2754	 6.2420	 
   165	 0.8401	 0.2882	 4.5764	-6.6752	15.7014	 6.4970	 
   166	 0.8092	 0.4130	 5.4023	-7.8797	14.7117	 6.1877	 
   167	 0.6543	 0.3202	20.3961	-13.4163	12.9518	 5.4882	 
   168	 0.3523	 0.2827	 2.8902	-4.2158	12.1729	 4.9512	 
   169	 0.1238	 0.2175	 3.7505	-5.4706	11.6264	 4.5532	 
   170	 0.0154	 0.2959	 5.4023	-7.8797	10.5506	 4.0509	 
   171	-0.0233	 0.2727	 4.5764	-6.6752	 8.7348	 3.6718	 
   172	 0.5033	 0.3014	 5.4023	-7.8797	11.9879	 4.9820	 
   173	 0.7317	 0.3666	 4.5764	-6.6752	12.4224	 4.7466	 
   174	 0.5807	 0.3478	 4.5764	-6.6752	11.2261	 4.1013	 
   175	 0.5807	 0.3478	 5.4023	-7.8797	11.3380	 4.0975	 
   176	 0.6969	 0.4174	 6.2282	-9.0843	10.8388	 3.8695	 
   177	 0.5459	 0.3986	 2.8902	-4.2158	 8.7304	 2.9613	 
   178	 0.3562	 0.3567	-251.0717	366.1898	 7.9257	 2.6212	 
   179	 0.1703	 0.3887	-251.0717	366.1898	 7.7665	 2.4551	 
   180	-0.0194	 0.3467	-116.3136	169.6439	 7.0005	 2.1382	 
   181	-0.1743	 0.2540	-116.3136	169.6439	 6.3852	 1.8406	 
   182	-0.1743	 0.2540	-116.3136	169.6439	 6.0152	 1.9023	 
   183	 0.6194	 0.3710	-0.0004	 0.0002	10.7657	 3.8965	 
   184	 0.6582	 0.3942	-0.0004	 0.0002	 9.2295	 3.1893	 
   185	 0.3949	 0.3798	-0.0004	 0.0002	 8.6916	 2.9381	 
   186	 0.4336	 0.4030	-0.0004	 0.0002	 9.2295	 3.1893	 
   187	 0.3601	 0.4307	-0.0004	 0.0002	 8.4937	 2.7488	 
   188	 0.1316	 0.3655	-0.0004	 0.0002	 6.7381	 2.1227	 
   189	-0.0581	 0.3235	 7.9832	-11.6440	 6.2776	 1.9178	 
